id,description,listing_date,list_type,price,status,agent_id,property_id
10000025,Modern house for sale,2019-09-11,SELL,24400000,ACTIVE,10000056,50000147
10000026,Affordable studio for rent,2019-05-11,RENT,58000,INACTIVE,10000069,50000078
10000027,Modern house for sale,2018-07-05,SELL,42450000,INACTIVE,NULL,50000148
10000028,Affordable studio for rent,2017-09-11,RENT,21000,ACTIVE,10000128,50000028
10000029,Spacious property for rent,2022-12-12,RENT,44000,ACTIVE,10000011,50000162
10000030,Spacious property for sale,2022-06-28,SELL,26910000,ACTIVE,10000078,50000174
10000031,Affordable studio for rent,2022-01-24,RENT,48000,INACTIVE,10000077,50000145
10000032,Affordable studio for sale,2017-04-19,SELL,17930000,INACTIVE,NULL,50000022
10000033,Modern house for rent,2016-12-12,RENT,16000,ACTIVE,10000088,50000196
10000034,Spacious property for rent,2021-07-12,RENT,42000,ACTIVE,10000011,50000157
10000035,Affordable studio for rent,2016-12-26,RENT,82000,INACTIVE,10000150,50000080
10000036,Spacious property for sale,2022-10-29,SELL,4260000,INACTIVE,10000106,50000179
10000037,Affordable studio for sale,2020-06-22,SELL,25960000,INACTIVE,NULL,50000002
10000038,Luxury villa for sale,2016-01-26,SELL,37190000,ACTIVE,10000049,50000075
10000039,Modern house for rent,2019-12-18,RENT,44000,INACTIVE,10000026,50000141
10000040,Spacious property for sale,2022-05-18,SELL,12680000,ACTIVE,NULL,50000087
10000041,Modern house for sale,2017-02-05,SELL,11180000,INACTIVE,10000150,50000103
10000042,Affordable studio for sale,2019-08-26,SELL,10850000,INACTIVE,10000016,50000199
10000043,Affordable studio for sale,2021-12-30,SELL,44110000,INACTIVE,10000061,50000070
10000044,Affordable studio for rent,2021-07-03,RENT,31000,INACTIVE,NULL,50000030
10000045,Spacious property for rent,2023-02-14,RENT,89000,ACTIVE,10000117,50000122
10000046,Affordable studio for rent,2017-06-05,RENT,69000,ACTIVE,NULL,50000034
10000047,Cozy apartment for rent,2021-05-23,RENT,81000,INACTIVE,10000056,50000007
10000048,Spacious property for sale,2018-07-21,SELL,1620000,INACTIVE,10000138,50000096
10000049,Cozy apartment for rent,2018-05-11,RENT,41000,ACTIVE,10000061,50000028
10000050,Modern house for sale,2020-02-26,SELL,48050000,INACTIVE,NULL,50000199
10000051,Modern house for rent,2018-02-16,RENT,56000,INACTIVE,10000061,50000131
10000052,Affordable studio for rent,2018-11-12,RENT,48000,INACTIVE,10000044,50000038
10000053,Luxury villa for sale,2016-12-01,SELL,18850000,INACTIVE,10000044,50000005
10000054,Spacious property for rent,2019-11-23,RENT,65000,ACTIVE,10000113,50000066
10000055,Luxury villa for rent,2019-11-05,RENT,60000,ACTIVE,10000049,50000148
10000056,Affordable studio for rent,2019-11-07,RENT,36000,INACTIVE,10000049,50000118
10000057,Affordable studio for sale,2022-06-19,SELL,4620000,ACTIVE,10000003,50000047
10000058,Modern house for rent,2019-01-11,RENT,74000,ACTIVE,10000026,50000028
10000059,Modern house for rent,2017-06-01,RENT,39000,INACTIVE,10000113,50000005
10000060,Luxury villa for rent,2017-06-24,RENT,25000,INACTIVE,NULL,50000120
10000061,Cozy apartment for sale,2016-10-11,SELL,14960000,INACTIVE,10000138,50000023
10000062,Luxury villa for sale,2017-01-11,SELL,16950000,INACTIVE,10000113,50000028
10000063,Luxury villa for sale,2022-01-01,SELL,29100000,ACTIVE,10000135,50000198
10000064,Modern house for rent,2019-01-08,RENT,58000,ACTIVE,NULL,50000009
10000065,Affordable studio for rent,2022-04-09,RENT,28000,ACTIVE,10000129,50000024
10000066,Modern house for sale,2018-11-14,SELL,18740000,INACTIVE,10000049,50000102
10000067,Spacious property for rent,2016-06-29,RENT,57000,INACTIVE,10000011,50000040
10000068,Affordable studio for sale,2021-08-13,SELL,28300000,INACTIVE,10000102,50000053
10000069,Modern house for sale,2019-04-25,SELL,32660000,INACTIVE,10000110,50000130
10000070,Affordable studio for sale,2022-01-23,SELL,42580000,INACTIVE,10000120,50000007
10000071,Luxury villa for sale,2016-12-10,SELL,9470000,INACTIVE,10000003,50000132
10000072,Cozy apartment for sale,2021-05-07,SELL,37920000,ACTIVE,10000078,50000059
10000073,Spacious property for rent,2022-01-15,RENT,31000,INACTIVE,NULL,50000018
10000074,Spacious property for sale,2020-07-01,SELL,29970000,INACTIVE,10000102,50000129
10000075,Affordable studio for sale,2016-10-07,SELL,42680000,ACTIVE,10000135,50000098
10000076,Luxury villa for rent,2019-03-21,RENT,34000,ACTIVE,10000086,50000096
10000077,Luxury villa for sale,2018-09-16,SELL,21640000,INACTIVE,10000110,50000067
10000078,Cozy apartment for sale,2019-09-27,SELL,27000000,INACTIVE,10000049,50000095
10000079,Luxury villa for rent,2019-09-02,RENT,89000,INACTIVE,10000078,50000020
10000080,Cozy apartment for rent,2017-10-16,RENT,47000,INACTIVE,10000078,50000062
10000081,Luxury villa for sale,2020-07-18,SELL,3510000,INACTIVE,10000110,50000141
10000082,Modern house for sale,2017-12-12,SELL,18910000,INACTIVE,10000011,50000033
10000083,Spacious property for rent,2022-06-30,RENT,45000,INACTIVE,NULL,50000070
10000084,Affordable studio for sale,2020-06-07,SELL,10790000,INACTIVE,NULL,50000118
10000085,Modern house for rent,2021-04-21,RENT,42000,INACTIVE,10000026,50000111
10000086,Affordable studio for sale,2020-03-16,SELL,16620000,ACTIVE,NULL,50000008
10000087,Luxury villa for rent,2020-04-27,RENT,21000,ACTIVE,10000129,50000095
10000088,Affordable studio for rent,2019-10-26,RENT,76000,ACTIVE,10000102,50000021
10000089,Spacious property for rent,2018-10-02,RENT,13000,INACTIVE,10000078,50000015
10000090,Spacious property for rent,2022-09-03,RENT,64000,ACTIVE,10000136,50000030
10000091,Cozy apartment for rent,2017-07-19,RENT,91000,ACTIVE,10000129,50000195
10000092,Luxury villa for rent,2016-09-03,RENT,31000,INACTIVE,10000008,50000138
10000093,Affordable studio for rent,2019-06-12,RENT,88000,ACTIVE,10000103,50000038
10000094,Cozy apartment for sale,2021-02-14,SELL,44320000,INACTIVE,NULL,50000013
10000095,Affordable studio for sale,2016-03-07,SELL,38560000,INACTIVE,10000078,50000098
10000096,Affordable studio for rent,2019-01-17,RENT,48000,INACTIVE,10000128,50000136
10000097,Spacious property for sale,2016-10-05,SELL,23500000,INACTIVE,10000078,50000034
10000098,Affordable studio for sale,2017-05-30,SELL,26820000,INACTIVE,10000083,50000045
10000099,Luxury villa for rent,2017-07-10,RENT,65000,INACTIVE,NULL,50000068
10000100,Modern house for sale,2017-04-03,SELL,40630000,INACTIVE,NULL,50000074
10000101,Cozy apartment for rent,2016-03-23,RENT,18000,INACTIVE,10000016,50000046
10000102,Cozy apartment for sale,2018-12-07,SELL,25320000,ACTIVE,10000106,50000113
10000103,Modern house for rent,2017-08-26,RENT,25000,INACTIVE,10000009,50000080
10000104,Spacious property for rent,2020-08-11,RENT,40000,INACTIVE,10000049,50000152
10000105,Affordable studio for rent,2020-04-10,RENT,56000,INACTIVE,10000102,50000083
10000106,Modern house for sale,2022-03-12,SELL,44400000,ACTIVE,10000009,50000157
10000107,Cozy apartment for sale,2021-11-19,SELL,25730000,INACTIVE,10000011,50000047
10000108,Cozy apartment for sale,2017-05-07,SELL,22120000,ACTIVE,10000117,50000098
10000109,Affordable studio for sale,2021-08-29,SELL,13280000,INACTIVE,NULL,50000001
10000110,Spacious property for sale,2019-03-16,SELL,41170000,INACTIVE,10000135,50000067
10000111,Modern house for rent,2019-09-21,RENT,32000,ACTIVE,10000044,50000096
10000112,Cozy apartment for sale,2022-01-12,SELL,27390000,ACTIVE,10000088,50000048
10000113,Luxury villa for rent,2018-06-26,RENT,86000,INACTIVE,10000003,50000021
10000114,Affordable studio for sale,2017-01-20,SELL,2870000,INACTIVE,10000078,50000155
10000115,Modern house for rent,2020-05-02,RENT,63000,INACTIVE,NULL,50000020
10000116,Cozy apartment for rent,2021-03-11,RENT,55000,INACTIVE,NULL,50000088
10000117,Affordable studio for sale,2022-02-25,SELL,37460000,ACTIVE,10000110,50000041
10000118,Spacious property for sale,2019-02-02,SELL,39180000,INACTIVE,10000103,50000084
10000119,Cozy apartment for sale,2020-05-21,SELL,5130000,INACTIVE,NULL,50000106
10000120,Luxury villa for rent,2019-02-18,RENT,97000,INACTIVE,10000003,50000032
10000121,Affordable studio for sale,2021-09-23,SELL,28130000,INACTIVE,10000106,50000076
10000122,Affordable studio for rent,2020-03-09,RENT,68000,INACTIVE,10000078,50000187
10000123,Spacious property for rent,2017-08-20,RENT,64000,INACTIVE,10000044,50000155
10000124,Cozy apartment for sale,2020-12-03,SELL,32270000,ACTIVE,10000136,50000094
10000125,Cozy apartment for rent,2022-07-15,RENT,64000,ACTIVE,10000056,50000018
10000126,Modern house for rent,2016-12-03,RENT,38000,INACTIVE,NULL,50000069
10000127,Modern house for sale,2018-09-25,SELL,31110000,INACTIVE,NULL,50000194
10000128,Modern house for sale,2020-02-13,SELL,27530000,INACTIVE,NULL,50000112
10000129,Cozy apartment for rent,2018-11-21,RENT,37000,INACTIVE,10000061,50000165
10000130,Luxury villa for rent,2020-02-21,RENT,39000,ACTIVE,10000135,50000101
10000131,Cozy apartment for sale,2019-10-14,SELL,13140000,ACTIVE,10000083,50000102
10000132,Spacious property for rent,2020-06-15,RENT,84000,INACTIVE,10000008,50000181
10000133,Spacious property for sale,2017-10-05,SELL,21990000,INACTIVE,10000106,50000103
10000134,Cozy apartment for sale,2018-05-09,SELL,35270000,INACTIVE,10000016,50000177
10000135,Modern house for sale,2018-08-31,SELL,27890000,ACTIVE,10000117,50000119
10000136,Cozy apartment for sale,2023-04-08,SELL,20840000,ACTIVE,10000078,50000133
10000137,Luxury villa for sale,2021-11-16,SELL,22830000,ACTIVE,10000083,50000186
10000138,Modern house for rent,2017-04-03,RENT,74000,ACTIVE,10000103,50000138
10000139,Luxury villa for sale,2019-03-05,SELL,700000,INACTIVE,10000150,50000148
10000140,Luxury villa for sale,2016-06-13,SELL,41110000,ACTIVE,10000056,50000092
10000141,Spacious property for sale,2018-10-11,SELL,43400000,INACTIVE,10000113,50000142
10000142,Affordable studio for sale,2020-08-02,SELL,32590000,INACTIVE,10000102,50000025
10000143,Affordable studio for rent,2022-09-09,RENT,86000,ACTIVE,NULL,50000029
10000144,Modern house for rent,2021-10-09,RENT,79000,INACTIVE,10000129,50000024
10000145,Modern house for sale,2016-11-24,SELL,48170000,ACTIVE,10000088,50000184
10000146,Cozy apartment for rent,2020-01-03,RENT,74000,INACTIVE,10000138,50000089
10000147,Cozy apartment for sale,2018-04-30,SELL,35660000,ACTIVE,NULL,50000114
10000148,Spacious property for rent,2022-03-09,RENT,71000,ACTIVE,10000026,50000187
10000149,Luxury villa for rent,2024-04-29,RENT,10000,ACTIVE,10000069,50000179
10000150,Spacious property for sale,2023-08-03,SELL,22130000,ACTIVE,10000061,50000035
10000151,Spacious property for rent,2017-09-05,RENT,15000,ACTIVE,10000128,50000039
10000152,Modern house for rent,2019-03-31,RENT,38000,INACTIVE,NULL,50000055
10000153,Cozy apartment for rent,2018-03-29,RENT,22000,INACTIVE,NULL,50000154
10000154,Affordable studio for sale,2019-10-02,SELL,31730000,INACTIVE,10000106,50000084
10000155,Modern house for rent,2021-02-07,RENT,92000,INACTIVE,10000150,50000192
10000156,Affordable studio for rent,2019-11-09,RENT,48000,ACTIVE,10000073,50000182
10000157,Affordable studio for sale,2020-04-26,SELL,28770000,ACTIVE,NULL,50000031
10000158,Modern house for sale,2020-01-28,SELL,38520000,ACTIVE,10000049,50000164
10000159,Cozy apartment for sale,2020-06-25,SELL,21340000,ACTIVE,10000128,50000194
10000160,Modern house for sale,2016-10-14,SELL,21720000,INACTIVE,10000088,50000161
10000161,Spacious property for sale,2020-07-17,SELL,18470000,ACTIVE,10000088,50000077
10000162,Cozy apartment for sale,2018-02-07,SELL,47870000,INACTIVE,NULL,50000004
10000163,Cozy apartment for sale,2019-05-25,SELL,27300000,INACTIVE,10000136,50000194
10000164,Spacious property for sale,2018-01-10,SELL,3620000,INACTIVE,10000129,50000068
10000165,Luxury villa for sale,2020-09-12,SELL,37480000,INACTIVE,NULL,50000048
10000166,Spacious property for sale,2020-09-21,SELL,6110000,ACTIVE,10000120,50000175
10000167,Cozy apartment for rent,2020-01-19,RENT,77000,INACTIVE,NULL,50000037
10000168,Spacious property for sale,2022-11-23,SELL,26750000,ACTIVE,10000120,50000012
10000169,Affordable studio for sale,2019-10-13,SELL,40140000,ACTIVE,NULL,50000043
10000170,Modern house for rent,2020-08-26,RENT,62000,INACTIVE,10000077,50000199
10000171,Luxury villa for sale,2022-05-02,SELL,8110000,ACTIVE,10000008,50000139
10000172,Spacious property for rent,2024-06-03,RENT,69000,ACTIVE,NULL,50000035
10000173,Cozy apartment for rent,2022-12-03,RENT,78000,INACTIVE,10000061,50000035
10000174,Luxury villa for sale,2020-11-02,SELL,35040000,ACTIVE,10000008,50000020
10000175,Luxury villa for sale,2020-11-01,SELL,7460000,INACTIVE,10000011,50000198
10000176,Spacious property for rent,2022-01-08,RENT,25000,ACTIVE,10000150,50000197
10000177,Spacious property for sale,2021-04-21,SELL,15880000,ACTIVE,10000044,50000175
10000178,Luxury villa for sale,2022-07-30,SELL,42620000,ACTIVE,10000078,50000006
10000179,Spacious property for rent,2022-06-14,RENT,27000,INACTIVE,10000008,50000122
10000180,Luxury villa for rent,2020-05-31,RENT,13000,ACTIVE,NULL,50000055
10000181,Spacious property for sale,2018-11-29,SELL,39880000,INACTIVE,10000003,50000154
10000182,Cozy apartment for rent,2017-05-24,RENT,51000,ACTIVE,NULL,50000184
10000183,Affordable studio for rent,2018-01-06,RENT,45000,INACTIVE,10000078,50000108
10000184,Spacious property for sale,2020-08-27,SELL,46270000,INACTIVE,10000077,50000100
10000185,Luxury villa for rent,2017-08-20,RENT,32000,INACTIVE,10000136,50000091
10000186,Cozy apartment for rent,2019-09-18,RENT,85000,ACTIVE,10000009,50000032
10000187,Luxury villa for sale,2022-06-28,SELL,38960000,ACTIVE,10000061,50000110
10000188,Cozy apartment for sale,2018-07-10,SELL,15350000,INACTIVE,NULL,50000068
10000189,Spacious property for rent,2018-04-05,RENT,89000,ACTIVE,10000016,50000103
10000190,Luxury villa for rent,2016-08-09,RENT,57000,INACTIVE,10000110,50000063
10000191,Affordable studio for sale,2019-04-09,SELL,21050000,INACTIVE,NULL,50000182
10000192,Cozy apartment for rent,2020-10-25,RENT,22000,INACTIVE,10000056,50000135
10000193,Affordable studio for sale,2023-12-14,SELL,42940000,ACTIVE,NULL,50000122
10000194,Cozy apartment for sale,2022-04-23,SELL,26760000,INACTIVE,10000120,50000012
10000195,Luxury villa for rent,2019-03-15,RENT,96000,INACTIVE,10000044,50000107
10000196,Cozy apartment for sale,2018-01-03,SELL,22390000,ACTIVE,10000128,50000138
10000197,Affordable studio for rent,2022-03-11,RENT,65000,ACTIVE,NULL,50000088
10000198,Luxury villa for rent,2021-01-13,RENT,29000,ACTIVE,NULL,50000117
10000199,Luxury villa for rent,2019-11-30,RENT,19000,INACTIVE,10000150,50000055
10000200,Spacious property for rent,2018-12-26,RENT,93000,INACTIVE,10000120,50000021
10000201,Luxury villa for sale,2021-05-25,SELL,25220000,ACTIVE,10000003,50000135
10000202,Luxury villa for sale,2018-09-06,SELL,4240000,ACTIVE,NULL,50000108
10000203,Modern house for sale,2019-04-02,SELL,28060000,ACTIVE,10000026,50000015
10000204,Luxury villa for rent,2022-07-16,RENT,52000,ACTIVE,10000009,50000186
10000205,Spacious property for sale,2017-06-08,SELL,4470000,INACTIVE,10000102,50000172
10000206,Cozy apartment for sale,2020-09-09,SELL,21610000,INACTIVE,10000083,50000187
10000207,Luxury villa for rent,2020-12-21,RENT,56000,ACTIVE,NULL,50000106
10000208,Modern house for sale,2018-01-22,SELL,11220000,INACTIVE,10000044,50000056
10000209,Affordable studio for rent,2021-01-29,RENT,79000,ACTIVE,10000009,50000065
10000210,Affordable studio for sale,2022-08-24,SELL,1100000,INACTIVE,10000128,50000145
10000211,Luxury villa for rent,2017-06-14,RENT,12000,INACTIVE,10000138,50000161
10000212,Luxury villa for rent,2022-02-28,RENT,93000,INACTIVE,10000003,50000001
10000213,Cozy apartment for rent,2019-05-27,RENT,29000,ACTIVE,10000069,50000026
10000214,Cozy apartment for sale,2021-08-26,SELL,48660000,ACTIVE,10000044,50000199
10000215,Spacious property for sale,2022-04-16,SELL,11800000,ACTIVE,10000103,50000191
10000216,Affordable studio for rent,2021-08-22,RENT,60000,INACTIVE,10000061,50000180
10000217,Luxury villa for rent,2019-11-15,RENT,37000,ACTIVE,10000138,50000107
10000218,Spacious property for rent,2022-06-12,RENT,33000,INACTIVE,10000110,50000162
10000219,Cozy apartment for sale,2021-11-03,SELL,39500000,INACTIVE,10000077,50000099
10000220,Cozy apartment for sale,2017-06-11,SELL,45530000,ACTIVE,10000069,50000023
10000221,Affordable studio for sale,2020-07-28,SELL,21630000,ACTIVE,10000003,50000164
10000222,Spacious property for rent,2019-05-29,RENT,40000,INACTIVE,10000120,50000154
10000223,Spacious property for sale,2022-08-24,SELL,15230000,ACTIVE,10000120,50000081
10000224,Luxury villa for rent,2021-06-17,RENT,97000,ACTIVE,NULL,50000082
10000225,Cozy apartment for rent,2022-03-22,RENT,12000,ACTIVE,10000061,50000180
10000226,Spacious property for rent,2017-09-03,RENT,46000,ACTIVE,10000120,50000069
10000227,Affordable studio for rent,2022-07-12,RENT,27000,ACTIVE,10000061,50000157
10000228,Modern house for sale,2018-03-20,SELL,31910000,INACTIVE,10000078,50000091
10000229,Cozy apartment for rent,2021-07-01,RENT,52000,INACTIVE,NULL,50000198
10000230,Affordable studio for rent,2018-08-16,RENT,74000,ACTIVE,10000009,50000131
10000231,Modern house for rent,2017-12-30,RENT,15000,INACTIVE,10000049,50000045
10000232,Spacious property for sale,2020-12-19,SELL,15620000,ACTIVE,10000102,50000042
10000233,Affordable studio for rent,2018-08-05,RENT,79000,ACTIVE,10000103,50000103
10000234,Affordable studio for rent,2021-07-03,RENT,37000,ACTIVE,10000016,50000094
10000235,Modern house for sale,2017-02-28,SELL,47550000,INACTIVE,10000117,50000040
10000236,Affordable studio for rent,2018-08-15,RENT,42000,ACTIVE,NULL,50000171
10000237,Spacious property for sale,2019-08-17,SELL,25200000,INACTIVE,NULL,50000072
10000238,Spacious property for sale,2021-11-11,SELL,27260000,INACTIVE,10000150,50000088
10000239,Spacious property for sale,2021-11-28,SELL,45920000,INACTIVE,10000073,50000174
10000240,Cozy apartment for rent,2020-02-29,RENT,62000,INACTIVE,10000011,50000060
10000241,Luxury villa for rent,2019-09-08,RENT,88000,ACTIVE,10000113,50000009
10000242,Cozy apartment for rent,2020-06-21,RENT,35000,ACTIVE,10000083,50000101
10000243,Affordable studio for rent,2023-02-28,RENT,66000,ACTIVE,NULL,50000070
10000244,Spacious property for rent,2017-08-10,RENT,30000,ACTIVE,10000102,50000132
10000245,Modern house for rent,2020-08-01,RENT,24000,ACTIVE,NULL,50000124
10000246,Spacious property for rent,2019-06-14,RENT,72000,INACTIVE,10000106,50000102
10000247,Cozy apartment for rent,2017-03-02,RENT,69000,INACTIVE,10000103,50000178
10000248,Spacious property for rent,2022-10-07,RENT,46000,ACTIVE,NULL,50000064
10000249,Cozy apartment for sale,2020-03-01,SELL,46330000,INACTIVE,NULL,50000124
10000250,Modern house for rent,2018-05-14,RENT,35000,INACTIVE,10000138,50000166
10000251,Spacious property for rent,2018-04-16,RENT,75000,ACTIVE,10000016,50000062
10000252,Spacious property for rent,2019-06-05,RENT,32000,ACTIVE,10000083,50000103
10000253,Spacious property for rent,2021-05-12,RENT,93000,INACTIVE,10000073,50000048
10000254,Affordable studio for rent,2018-05-25,RENT,13000,INACTIVE,10000113,50000125
10000255,Modern house for sale,2018-11-14,SELL,49600000,INACTIVE,NULL,50000166
10000256,Affordable studio for rent,2016-11-15,RENT,57000,ACTIVE,10000102,50000057
10000257,Luxury villa for sale,2022-08-08,SELL,45900000,INACTIVE,10000106,50000133
10000258,Luxury villa for rent,2019-04-16,RENT,83000,ACTIVE,10000016,50000003
10000259,Cozy apartment for rent,2023-02-28,RENT,30000,ACTIVE,10000136,50000110
10000260,Modern house for sale,2018-03-02,SELL,29260000,ACTIVE,10000026,50000178
10000261,Affordable studio for rent,2023-03-24,RENT,20000,ACTIVE,10000077,50000081
10000262,Luxury villa for sale,2022-12-29,SELL,10910000,INACTIVE,10000008,50000001
10000263,Spacious property for sale,2019-12-09,SELL,23280000,INACTIVE,10000026,50000014
10000264,Cozy apartment for rent,2020-04-02,RENT,94000,INACTIVE,10000044,50000084
10000265,Modern house for rent,2018-06-25,RENT,52000,ACTIVE,NULL,50000189
10000266,Affordable studio for sale,2020-08-13,SELL,28660000,ACTIVE,10000078,50000112
10000267,Luxury villa for rent,2019-11-16,RENT,84000,ACTIVE,10000088,50000003
10000268,Spacious property for sale,2016-09-19,SELL,31590000,INACTIVE,10000113,50000086
10000269,Cozy apartment for sale,2019-09-25,SELL,16530000,INACTIVE,NULL,50000194
10000270,Cozy apartment for sale,2022-03-22,SELL,36370000,INACTIVE,10000011,50000116
10000271,Cozy apartment for sale,2018-02-08,SELL,37750000,ACTIVE,10000077,50000172
10000272,Luxury villa for sale,2017-09-02,SELL,14770000,INACTIVE,10000135,50000178
10000273,Luxury villa for sale,2017-09-21,SELL,36700000,ACTIVE,10000056,50000051
10000274,Affordable studio for sale,2021-10-18,SELL,1800000,INACTIVE,10000120,50000151
10000275,Modern house for sale,2022-01-03,SELL,4390000,INACTIVE,NULL,50000030
10000276,Affordable studio for rent,2017-09-30,RENT,89000,INACTIVE,10000026,50000114
10000277,Spacious property for rent,2021-03-01,RENT,16000,ACTIVE,10000150,50000129
10000278,Affordable studio for sale,2021-06-01,SELL,30770000,ACTIVE,NULL,50000134
10000279,Affordable studio for sale,2021-11-21,SELL,7480000,ACTIVE,10000110,50000175
10000280,Affordable studio for sale,2022-02-17,SELL,18060000,ACTIVE,10000003,50000082
