TokenID,PID,AID,ListingDate,ListType,Price,Description,Status
10000151,50000039,10000128,2017-09-05,RENT,15000,Spacious property for rent,ACTIVE
10000152,50000055,NULL,2019-03-31,RENT,38000,Modern house for rent,INACTIVE
10000153,50000154,NULL,2018-03-29,RENT,22000,Cozy apartment for rent,INACTIVE
10000154,50000084,10000106,2019-10-02,SELL,31730000,Affordable studio for sale,INACTIVE
10000155,50000192,10000150,2021-02-07,RENT,92000,Modern house for rent,INACTIVE
10000156,50000182,10000073,2019-11-09,RENT,48000,Affordable studio for rent,ACTIVE
10000157,50000031,NULL,2020-04-26,SELL,28770000,Affordable studio for sale,ACTIVE
10000158,50000164,10000049,2020-01-28,SELL,38520000,Modern house for sale,ACTIVE
10000159,50000194,10000128,2020-06-25,SELL,21340000,Cozy apartment for sale,ACTIVE
10000160,50000161,10000088,2016-10-14,SELL,21720000,Modern house for sale,INACTIVE
10000161,50000077,10000088,2020-07-17,SELL,18470000,Spacious property for sale,ACTIVE
10000162,50000004,NULL,2018-02-07,SELL,47870000,Cozy apartment for sale,INACTIVE
10000163,50000194,10000136,2019-05-25,SELL,27300000,Cozy apartment for sale,INACTIVE
10000164,50000068,10000129,2018-01-10,SELL,3620000,Spacious property for sale,INACTIVE
10000165,50000048,NULL,2020-09-12,SELL,37480000,Luxury villa for sale,INACTIVE
10000166,50000175,10000120,2020-09-21,SELL,6110000,Spacious property for sale,ACTIVE
10000167,50000037,NULL,2020-01-19,RENT,77000,Cozy apartment for rent,INACTIVE
10000168,50000012,10000120,2022-11-23,SELL,26750000,Spacious property for sale,ACTIVE
10000169,50000043,NULL,2019-10-13,SELL,40140000,Affordable studio for sale,ACTIVE
10000170,50000199,10000077,2020-08-26,RENT,62000,Modern house for rent,INACTIVE
10000171,50000139,10000008,2022-05-02,SELL,8110000,Luxury villa for sale,ACTIVE
10000172,50000035,NULL,2024-06-03,RENT,69000,Spacious property for rent,ACTIVE
10000173,50000035,10000061,2022-12-03,RENT,78000,Cozy apartment for rent,INACTIVE
10000174,50000020,10000008,2020-11-02,SELL,35040000,Luxury villa for sale,ACTIVE
10000175,50000198,10000011,2020-11-01,SELL,7460000,Luxury villa for sale,INACTIVE
10000176,50000197,10000150,2022-01-08,RENT,25000,Spacious property for rent,ACTIVE
10000177,50000175,10000044,2021-04-21,SELL,15880000,Spacious property for sale,ACTIVE
10000178,50000006,10000078,2022-07-30,SELL,42620000,Luxury villa for sale,ACTIVE
10000179,50000122,10000008,2022-06-14,RENT,27000,Spacious property for rent,INACTIVE
10000180,50000055,NULL,2020-05-31,RENT,13000,Luxury villa for rent,ACTIVE
10000181,50000154,10000003,2018-11-29,SELL,39880000,Spacious property for sale,INACTIVE
10000182,50000184,NULL,2017-05-24,RENT,51000,Cozy apartment for rent,ACTIVE
10000183,50000108,10000078,2018-01-06,RENT,45000,Affordable studio for rent,INACTIVE
10000184,50000100,10000077,2020-08-27,SELL,46270000,Spacious property for sale,INACTIVE
10000185,50000091,10000136,2017-08-20,RENT,32000,Luxury villa for rent,INACTIVE
10000186,50000032,10000009,2019-09-18,RENT,85000,Cozy apartment for rent,ACTIVE
10000187,50000110,10000061,2022-06-28,SELL,38960000,Luxury villa for sale,ACTIVE
10000188,50000068,NULL,2018-07-10,SELL,15350000,Cozy apartment for sale,INACTIVE
10000189,50000103,10000016,2018-04-05,RENT,89000,Spacious property for rent,ACTIVE
10000190,50000063,10000110,2016-08-09,RENT,57000,Luxury villa for rent,INACTIVE
10000191,50000182,NULL,2019-04-09,SELL,21050000,Affordable studio for sale,INACTIVE
10000192,50000135,10000056,2020-10-25,RENT,22000,Cozy apartment for rent,INACTIVE
10000193,50000122,NULL,2023-12-14,SELL,42940000,Affordable studio for sale,ACTIVE
10000194,50000012,10000120,2022-04-23,SELL,26760000,Cozy apartment for sale,INACTIVE
10000195,50000107,10000044,2019-03-15,RENT,96000,Luxury villa for rent,INACTIVE
10000196,50000138,10000128,2018-01-03,SELL,22390000,Cozy apartment for sale,ACTIVE
10000197,50000088,NULL,2022-03-11,RENT,65000,Affordable studio for rent,ACTIVE
10000198,50000117,NULL,2021-01-13,RENT,29000,Luxury villa for rent,ACTIVE
10000199,50000055,10000150,2019-11-30,RENT,19000,Luxury villa for rent,INACTIVE
10000200,50000021,10000120,2018-12-26,RENT,93000,Spacious property for rent,INACTIVE
10000201,50000135,10000003,2021-05-25,SELL,25220000,Luxury villa for sale,ACTIVE
10000202,50000108,NULL,2018-09-06,SELL,4240000,Luxury villa for sale,ACTIVE
10000203,50000015,10000026,2019-04-02,SELL,28060000,Modern house for sale,ACTIVE
10000204,50000186,10000009,2022-07-16,RENT,52000,Luxury villa for rent,ACTIVE
10000205,50000172,10000102,2017-06-08,SELL,4470000,Spacious property for sale,INACTIVE
10000206,50000187,10000083,2020-09-09,SELL,21610000,Cozy apartment for sale,INACTIVE
10000207,50000106,NULL,2020-12-21,RENT,56000,Luxury villa for rent,ACTIVE
10000208,50000056,10000044,2018-01-22,SELL,11220000,Modern house for sale,INACTIVE
10000209,50000065,10000009,2021-01-29,RENT,79000,Affordable studio for rent,ACTIVE
10000210,50000145,10000128,2022-08-24,SELL,1100000,Affordable studio for sale,INACTIVE
10000211,50000161,10000138,2017-06-14,RENT,12000,Luxury villa for rent,INACTIVE
10000212,50000001,10000003,2022-02-28,RENT,93000,Luxury villa for rent,INACTIVE
10000213,50000026,10000069,2019-05-27,RENT,29000,Cozy apartment for rent,ACTIVE
10000214,50000199,10000044,2021-08-26,SELL,48660000,Cozy apartment for sale,ACTIVE
10000215,50000191,10000103,2022-04-16,SELL,11800000,Spacious property for sale,ACTIVE
10000216,50000180,10000061,2021-08-22,RENT,60000,Affordable studio for rent,INACTIVE
10000217,50000107,10000138,2019-11-15,RENT,37000,Luxury villa for rent,ACTIVE
10000218,50000162,10000110,2022-06-12,RENT,33000,Spacious property for rent,INACTIVE
10000219,50000099,10000077,2021-11-03,SELL,39500000,Cozy apartment for sale,INACTIVE
10000220,50000023,10000069,2017-06-11,SELL,45530000,Cozy apartment for sale,ACTIVE
10000221,50000164,10000003,2020-07-28,SELL,21630000,Affordable studio for sale,ACTIVE
10000222,50000154,10000120,2019-05-29,RENT,40000,Spacious property for rent,INACTIVE
10000223,50000081,10000120,2022-08-24,SELL,15230000,Spacious property for sale,ACTIVE
10000224,50000082,NULL,2021-06-17,RENT,97000,Luxury villa for rent,ACTIVE
10000225,50000180,10000061,2022-03-22,RENT,12000,Cozy apartment for rent,ACTIVE
10000226,50000069,10000120,2017-09-03,RENT,46000,Spacious property for rent,ACTIVE
10000227,50000157,10000061,2022-07-12,RENT,27000,Affordable studio for rent,ACTIVE
10000228,50000091,10000078,2018-03-20,SELL,31910000,Modern house for sale,INACTIVE
10000229,50000198,NULL,2021-07-01,RENT,52000,Cozy apartment for rent,INACTIVE
10000230,50000131,10000009,2018-08-16,RENT,74000,Affordable studio for rent,ACTIVE
10000231,50000045,10000049,2017-12-30,RENT,15000,Modern house for rent,INACTIVE
10000232,50000042,10000102,2020-12-19,SELL,15620000,Spacious property for sale,ACTIVE
10000233,50000103,10000103,2018-08-05,RENT,79000,Affordable studio for rent,ACTIVE
10000234,50000094,10000016,2021-07-03,RENT,37000,Affordable studio for rent,ACTIVE
10000235,50000040,10000117,2017-02-28,SELL,47550000,Modern house for sale,INACTIVE
10000236,50000171,NULL,2018-08-15,RENT,42000,Affordable studio for rent,ACTIVE
10000237,50000072,NULL,2019-08-17,SELL,25200000,Spacious property for sale,INACTIVE
10000238,50000088,10000150,2021-11-11,SELL,27260000,Spacious property for sale,INACTIVE
10000239,50000174,10000073,2021-11-28,SELL,45920000,Spacious property for sale,INACTIVE
10000240,50000060,10000011,2020-02-29,RENT,62000,Cozy apartment for rent,INACTIVE
10000241,50000009,10000113,2019-09-08,RENT,88000,Luxury villa for rent,ACTIVE
10000242,50000101,10000083,2020-06-21,RENT,35000,Cozy apartment for rent,ACTIVE
10000243,50000070,NULL,2023-02-28,RENT,66000,Affordable studio for rent,ACTIVE
10000244,50000132,10000102,2017-08-10,RENT,30000,Spacious property for rent,ACTIVE
10000245,50000124,NULL,2020-08-01,RENT,24000,Modern house for rent,ACTIVE
10000246,50000102,10000106,2019-06-14,RENT,72000,Spacious property for rent,INACTIVE
10000247,50000178,10000103,2017-03-02,RENT,69000,Cozy apartment for rent,INACTIVE
10000248,50000064,NULL,2022-10-07,RENT,46000,Spacious property for rent,ACTIVE
10000249,50000124,NULL,2020-03-01,SELL,46330000,Cozy apartment for sale,INACTIVE
10000250,50000166,10000138,2018-05-14,RENT,35000,Modern house for rent,INACTIVE
10000251,50000062,10000016,2018-04-16,RENT,75000,Spacious property for rent,ACTIVE
10000252,50000103,10000083,2019-06-05,RENT,32000,Spacious property for rent,ACTIVE
10000253,50000048,10000073,2021-05-12,RENT,93000,Spacious property for rent,INACTIVE
10000254,50000125,10000113,2018-05-25,RENT,13000,Affordable studio for rent,INACTIVE
10000255,50000166,NULL,2018-11-14,SELL,49600000,Modern house for sale,INACTIVE
10000256,50000057,10000102,2016-11-15,RENT,57000,Affordable studio for rent,ACTIVE
10000257,50000133,10000106,2022-08-08,SELL,45900000,Luxury villa for sale,INACTIVE
10000258,50000003,10000016,2019-04-16,RENT,83000,Luxury villa for rent,ACTIVE
10000259,50000110,10000136,2023-02-28,RENT,30000,Cozy apartment for rent,ACTIVE
10000260,50000178,10000026,2018-03-02,SELL,29260000,Modern house for sale,ACTIVE
10000261,50000081,10000077,2023-03-24,RENT,20000,Affordable studio for rent,ACTIVE
10000262,50000001,10000008,2022-12-29,SELL,10910000,Luxury villa for sale,INACTIVE
10000263,50000014,10000026,2019-12-09,SELL,23280000,Spacious property for sale,INACTIVE
10000264,50000084,10000044,2020-04-02,RENT,94000,Cozy apartment for rent,INACTIVE
10000265,50000189,NULL,2018-06-25,RENT,52000,Modern house for rent,ACTIVE
10000266,50000112,10000078,2020-08-13,SELL,28660000,Affordable studio for sale,ACTIVE
10000267,50000003,10000088,2019-11-16,RENT,84000,Luxury villa for rent,ACTIVE
10000268,50000086,10000113,2016-09-19,SELL,31590000,Spacious property for sale,INACTIVE
10000269,50000194,NULL,2019-09-25,SELL,16530000,Cozy apartment for sale,INACTIVE
10000270,50000116,10000011,2022-03-22,SELL,36370000,Cozy apartment for sale,INACTIVE
10000271,50000172,10000077,2018-02-08,SELL,37750000,Cozy apartment for sale,ACTIVE
10000272,50000178,10000135,2017-09-02,SELL,14770000,Luxury villa for sale,INACTIVE
10000273,50000051,10000056,2017-09-21,SELL,36700000,Luxury villa for sale,ACTIVE
10000274,50000151,10000120,2021-10-18,SELL,1800000,Affordable studio for sale,INACTIVE
10000275,50000030,NULL,2022-01-03,SELL,4390000,Modern house for sale,INACTIVE
10000276,50000114,10000026,2017-09-30,RENT,89000,Affordable studio for rent,INACTIVE
10000277,50000129,10000150,2021-03-01,RENT,16000,Spacious property for rent,ACTIVE
10000278,50000134,NULL,2021-06-01,SELL,30770000,Affordable studio for sale,ACTIVE
10000279,50000175,10000110,2021-11-21,SELL,7480000,Affordable studio for sale,ACTIVE
10000280,50000082,10000003,2022-02-17,SELL,18060000,Affordable studio for sale,ACTIVE
